Crop Name,Min Temp (°C),Max Temp (°C),Ideal Conditions,Min Soil Moisture (%),Max Soil Moisture (%),Rainfall (mm/year),Soil Type,Sunlight (hours/day),Other Notes
Cauliflower,32,37,Cloudy,47,77,1117,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,48,78,1118,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,49,79,1119,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,10,50,1120,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,11,51,1121,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,12,52,1122,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,13,53,1123,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,14,54,1124,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,15,55,1125,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,16,56,1126,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,17,57,1127,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,18,58,1128,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,19,59,1129,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,20,60,1130,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,21,61,1131,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,22,62,1132,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,23,63,1133,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,24,64,1134,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,25,65,1135,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,26,66,1136,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,27,67,1137,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,28,68,1138,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,29,69,1139,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,30,70,1140,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,31,71,1141,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,32,72,1142,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,33,73,1143,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,34,74,1144,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,35,75,1145,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,36,76,1146,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,37,77,1147,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,38,78,1148,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,39,79,1149,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,40,50,1150,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,41,51,1151,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,42,52,1152,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,43,53,1153,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,44,54,1154,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,45,55,1155,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,46,56,1156,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,47,57,1157,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,48,58,1158,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,49,59,1159,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,10,60,1160,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,11,61,1161,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,12,62,1162,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,13,63,1163,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,14,64,1164,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,15,65,1165,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,16,66,1166,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,17,67,1167,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,18,68,1168,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,19,69,1169,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,20,70,1170,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,21,71,1171,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,22,72,1172,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,23,73,1173,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,24,74,1174,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,25,75,1175,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,26,76,1176,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,27,77,1177,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,28,78,1178,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,29,79,1179,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,30,50,1180,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,31,51,1181,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,32,52,1182,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,33,53,1183,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,34,54,1184,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,35,55,1185,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,36,56,1186,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,37,57,1187,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,38,58,1188,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,39,59,1189,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,40,60,1190,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,41,61,1191,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,42,62,1192,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,43,63,1193,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,44,64,1194,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,45,65,1195,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,46,66,1196,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,47,67,1197,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,48,68,1198,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,49,69,1199,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,10,70,400,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,11,71,401,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,12,72,402,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,13,73,403,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,14,74,404,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,15,75,405,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,16,76,406,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,17,77,407,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,18,78,408,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,19,79,409,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,20,50,410,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,21,51,411,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,22,52,412,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,23,53,413,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,24,54,414,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,25,55,415,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,26,56,416,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,27,57,417,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,28,58,418,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,29,59,419,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,30,60,420,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,31,61,421,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,32,62,422,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,33,63,423,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,34,64,424,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,35,65,425,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,36,66,426,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,37,67,427,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,38,68,428,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,39,69,429,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,40,70,430,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,41,71,431,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,42,72,432,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,43,73,433,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,44,74,434,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,45,75,435,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,46,76,436,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,47,77,437,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,48,78,438,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,49,79,439,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,10,50,440,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,11,51,441,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,12,52,442,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,13,53,443,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,14,54,444,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,15,55,445,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,16,56,446,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,17,57,447,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,18,58,448,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,19,59,449,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,20,60,450,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,21,61,451,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,22,62,452,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,23,63,453,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,24,64,454,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,25,65,455,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,26,66,456,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,27,67,457,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,28,68,458,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,29,69,459,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,30,70,460,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,31,71,461,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,32,72,462,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,33,73,463,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,34,74,464,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,35,75,465,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,36,76,466,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,37,77,467,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,38,78,468,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,39,79,469,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,40,50,470,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,41,51,471,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,42,52,472,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,43,53,473,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,44,54,474,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,45,55,475,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,46,56,476,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,47,57,477,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,48,58,478,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,49,59,479,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,10,60,480,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,11,61,481,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,12,62,482,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,13,63,483,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,14,64,484,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,15,65,485,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,16,66,486,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,17,67,487,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,18,68,488,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,19,69,489,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,20,70,490,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,21,71,491,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,22,72,492,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,23,73,493,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,24,74,494,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,25,75,495,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,26,76,496,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,27,77,497,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,28,78,498,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,29,79,499,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,30,50,500,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,31,51,501,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,32,52,502,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,33,53,503,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,34,54,504,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,35,55,505,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,36,56,506,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,37,57,507,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,38,58,508,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,39,59,509,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,40,60,510,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,41,61,511,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,42,62,512,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,43,63,513,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,44,64,514,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,45,65,515,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,46,66,516,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,47,67,517,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,48,68,518,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,49,69,519,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,10,70,520,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,11,71,521,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,12,72,522,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,13,73,523,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,14,74,524,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,15,75,525,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,16,76,526,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,17,77,527,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,18,78,528,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,19,79,529,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,20,50,530,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,21,51,531,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,22,52,532,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,23,53,533,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,24,54,534,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,25,55,535,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,26,56,536,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,27,57,537,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,28,58,538,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,29,59,539,Silt,9,Ideal for tropical regions.
Garlic,15,20,Clear,30,60,540,Peaty,10,Prefers well-drained soil.
Carrot,16,21,Cloudy,31,61,541,Chalky,11,Thrives in humid conditions.
Spinach,17,22,Rainy,32,62,542,Loamy,6,Requires regular irrigation.
Lettuce,18,23,Sunny,33,63,543,Sandy,7,Ideal for tropical regions.
Peas,19,24,Clear,34,64,544,Clay,8,Prefers well-drained soil.
Chickpeas,20,25,Cloudy,35,65,545,Silt,9,Thrives in humid conditions.
Banana,21,26,Rainy,36,66,546,Peaty,10,Requires regular irrigation.
Apple,22,27,Sunny,37,67,547,Chalky,11,Ideal for tropical regions.
Orange,23,28,Clear,38,68,548,Loamy,6,Prefers well-drained soil.
Grapes,24,29,Cloudy,39,69,549,Sandy,7,Thrives in humid conditions.
Mango,25,30,Rainy,40,70,550,Clay,8,Requires regular irrigation.
Pineapple,26,31,Sunny,41,71,551,Silt,9,Ideal for tropical regions.
Papaya,27,32,Clear,42,72,552,Peaty,10,Prefers well-drained soil.
Strawberry,28,33,Cloudy,43,73,553,Chalky,11,Thrives in humid conditions.
Cucumber,29,34,Rainy,44,74,554,Loamy,6,Requires regular irrigation.
Pumpkin,30,35,Sunny,45,75,555,Sandy,7,Ideal for tropical regions.
Squash,31,36,Clear,46,76,556,Clay,8,Prefers well-drained soil.
Cauliflower,32,37,Cloudy,47,77,557,Silt,9,Thrives in humid conditions.
Cabbage,33,38,Rainy,48,78,558,Peaty,10,Requires regular irrigation.
Broccoli,34,39,Sunny,49,79,559,Chalky,11,Ideal for tropical regions.
Wheat,5,20,Clear,10,50,560,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,11,51,561,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,12,52,562,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,13,53,563,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,14,54,564,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,15,55,565,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,16,56,566,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,17,57,567,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,18,58,568,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,19,59,569,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,20,60,570,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,21,61,571,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,22,62,572,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,23,63,573,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,24,64,574,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,25,65,575,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,26,66,576,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,27,67,577,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,28,68,578,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,29,69,579,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,30,70,580,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,31,71,581,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,32,72,582,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,33,73,583,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,34,74,584,Loamy,6,Prefers well-drained soil.
Pumpkin,30,25,Cloudy,35,75,585,Sandy,7,Thrives in humid conditions.
Squash,31,26,Rainy,36,76,586,Clay,8,Requires regular irrigation.
Cauliflower,32,27,Sunny,37,77,587,Silt,9,Ideal for tropical regions.
Cabbage,33,28,Clear,38,78,588,Peaty,10,Prefers well-drained soil.
Broccoli,34,29,Cloudy,39,79,589,Chalky,11,Thrives in humid conditions.
Wheat,5,30,Rainy,40,50,590,Loamy,6,Requires regular irrigation.
Rice,6,31,Sunny,41,51,591,Sandy,7,Ideal for tropical regions.
Corn,7,32,Clear,42,52,592,Clay,8,Prefers well-drained soil.
Soybean,8,33,Cloudy,43,53,593,Silt,9,Thrives in humid conditions.
Barley,9,34,Rainy,44,54,594,Peaty,10,Requires regular irrigation.
Oats,10,35,Sunny,45,55,595,Chalky,11,Ideal for tropical regions.
Sugarcane,11,36,Clear,46,56,596,Loamy,6,Prefers well-drained soil.
Potato,12,37,Cloudy,47,57,597,Sandy,7,Thrives in humid conditions.
Tomato,13,38,Rainy,48,58,598,Clay,8,Requires regular irrigation.
Onion,14,39,Sunny,49,59,599,Silt,9,Ideal for tropical regions.
